英文檔案名	中文檔案名	適用年分開始	適用年份結束	英文欄位	中文欄位	資料型態	長度	起始位置	迄末位置	資料描述
BED	醫事機構病床主檔			HOSP_ID	醫事機構代號	C	34	1	34	已轉碼，後2碼為權屬別，參考代碼說明B-4之「權屬及型態別其代號與名稱」。
BED	醫事機構病床主檔			BED_NO	病床號	C	10	35	44	
BED	醫事機構病床主檔			BED_TYPE	病床類別	C	3	45	47	請參考代碼說明B-11之「病床類別」。
BED	醫事機構病床主檔			BED_LEVEL	病床等級	C	1	48	48	1：健保2：一般
BED	醫事機構病床主檔			PAY_S_DATE	給付起始日期	C	8	49	56	YYYYMMDD核准該病床日期
BED	醫事機構病床主檔			PAY_E_DATE	給付迄止日期	C	8	57	64	YYYYMMDD
BED	醫事機構病床主檔			UDD_MARK	單一劑量註記	C	1	65	65	Y：是
BED	醫事機構病床主檔			UDD_LEVEL	ICU等級	C	1	66	66	甲級：E，乙級：F，丙級：G，丁級：H，不合格：X(僅供參考)
BED	醫事機構病床主檔			UDD_LEVEL	單一劑量生效起日	C	8	67	74	YYYYMMDD
BED	醫事機構病床主檔			UDD_E_DATE	單一劑量生效迄日	C	8	75	82	YYYYMMDD
CD	門診處方及治療明細檔	85	92	FEE_YM	費用年月	C	6	1	6	YYYYMM
CD	門診處方及治療明細檔	85	92	APPL_TYPE	申報類別	C	1	7	7	1：送核2：補報
CD	門診處方及治療明細檔	85	92	HOSP_ID	醫事機構代號	C	34	8	41	已轉碼。後2碼為權屬別，請參考代碼說明B-4之「權屬及型態別其代號與名稱」。代檢及轉檢由原診治之特約醫院、診所申報。
CD	門診處方及治療明細檔	85	92	APPL_DATE	申報日期	C	8	42	49	YYYYMMDD(西元年)
CD	門診處方及治療明細檔	85	92	CASE_TYPE	案件分類	C	2	50	51	請參考代碼說明B-26之「案件分類代號」
CD	門診處方及治療明細檔	85	92	SEQ_NO	流水號	N	6	52	57	右靠不足補0，依案件分類之類別分別連續編號
CD	門診處方及治療明細檔	85	92	CURE_ITEM_NO1	特定治療項目代號(一)	C	2	58	59	請參考代碼說明B-55之「特定治療項目代號」;如無特定治療項目代號所列舉之內容則留空白。慢性病連續處方調劑本欄免填。
CD	門診處方及治療明細檔	85	92	CURE_ITEM_NO2	特定治療項目代號(二)	C	2	60	61	同上
CD	門診處方及治療明細檔	85	92	CURE_ITEM_NO3	特定治療項目代號(三)	C	2	62	63	同上
CD	門診處方及治療明細檔	85	92	CURE_ITEM_NO4	特定治療項目代號(四)	C	2	64	65	同上
CD	門診處方及治療明細檔	85	92	FUNC_TYPE	就醫科別	C	2	66	67	請參考代碼說明B-49之「就醫科別及細分科」
CD	門診處方及治療明細檔	85	92	FUNC_DATE	就醫日期	C	8	68	75	YYYYMMDD請參考代碼說明B-63之「就醫日期及治療結束日期補充說明」
CD	門診處方及治療明細檔	85	92	TREAT_END_DATE	治療結束日期	C	8	76	83	YYYYMMDD請參考代碼說明B-63之「就醫日期及治療結束日期補充說明」，同一療程、排程檢查或慢性病連續處方籤調劑案件，本欄必填。
CD	門診處方及治療明細檔	85	92	ID_BIRTHDAY	出生年月	C	8	84	91	YYYYMM，左靠不足補空白
